term,grade,origination_vintage,origination_amount,charged_off_date,charged_off_amount,MoB
36 months,A,2012-01-31,7391800,2013-10-31,3137,21
36 months,A,2012-01-31,7391800,2013-11-30,8061,22
36 months,A,2012-01-31,7391800,2013-12-31,4513,23
36 months,A,2012-01-31,7391800,2014-01-31,8462,24
36 months,A,2012-01-31,7391800,2014-02-28,32006,25
36 months,A,2012-01-31,7391800,2014-03-31,9201,26
36 months,A,2012-01-31,7391800,2014-04-30,12166,27
36 months,A,2012-01-31,7391800,2014-05-31,13188,28
36 months,A,2012-01-31,7391800,2014-06-30,6828,29
36 months,A,2012-01-31,7391800,2014-07-31,15886,30
36 months,A,2012-01-31,7391800,2014-08-31,6241,31
36 months,A,2012-01-31,7391800,2014-10-31,4096,33
